Doc,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20
1314,0.01,0.01,0.01,0.01,14.760315,0.01,0.01,34.259682,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1315,0.01,0.01,0.01,0.01,1.244751,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,17.446005,0.01,0.01,0.01,0.01,1.339243,0.01
1316,0.01,0.01,0.01,0.01,1.244751,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,17.446005,0.01,0.01,0.01,0.01,1.339243,0.01
1317,0.01,0.01,0.01,0.01,0.01,0.01,0.01,39.699753,2.877655,0.01,0.01,0.01,0.01,1.452592,0.01,0.01,0.01,0.01,0.01,0.01
1318,0.01,0.01,0.01,0.01,5.883653,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,14.136349,0.01,0.01,0.01,0.01,0.01,0.01
1319,0.01,0.01,0.01,0.01,3.712898,0.01,0.01,15.913278,21.83481,0.01,0.01,2.287146,0.01,67.301865,0.01,0.01,0.01,0.01,0.01,0.01
1320,0.01,0.01,0.01,0.01,13.362749,0.01,0.01,18.976683,11.542001,0.01,0.01,0.01,0.01,2.33878,0.01,0.01,5.829787,0.01,0.01,0.01
1321,0.01,0.01,1.514308,0.01,0.01,0.01,0.01,25.055771,0.01,0.01,0.01,0.01,0.01,31.459919,0.01,0.01,0.01,0.01,0.01,0.01
1322,0.01,0.01,0.01,0.01,29.983496,0.01,0.01,0.01,3.15262,0.01,0.834815,30.48258,0.01,6.699291,0.01,0.01,5.907207,0.01,0.01,0.01
1323,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.841057,0.01,0.01,0.01,0.01,0.01,230.798447,1.009979,0.01,0.01,0.01,20.390476,0.01
1324,0.01,0.01,0.01,0.01,0.01,0.01,0.01,6.779212,0.01,0.01,0.01,0.01,0.01,11.240788,0.01,0.01,0.01,0.01,0.01,0.01
1325,0.01,0.01,0.01,0.01,0.01,0.01,0.01,10.715989,0.01,0.01,0.01,0.01,0.01,37.304008,0.01,0.01,0.01,0.01,0.01,0.01
1326,0.01,0.01,0.01,0.01,0.01,0.01,0.01,50.335903,0.01,0.01,0.01,0.01,0.01,19.749428,3.94467,0.01,0.01,0.01,0.01,0.01
1327,0.01,0.01,0.01,0.01,30.443659,0.01,0.01,1.749861,10.726447,0.01,0.01,0.01,0.01,18.120037,0.01,0.01,0.01,0.01,0.01,0.01
1328,0.01,0.01,3.010861,0.01,0.01,0.01,0.01,18.894033,3.277958,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.857147
1329,0.01,0.01,5.860872,0.01,0.01,0.01,0.01,24.686756,0.01,0.01,0.01,0.01,0.01,28.556156,0.01,0.01,9.936214,0.01,0.01,0.01
1330,0.01,0.01,0.01,0.01,0.01,0.01,0.01,44.69236,8.327641,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1331,0.01,0.01,0.01,0.01,10.19716,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,58.822838,0.01,0.01,0.01,0.01,0.01,0.01
1332,0.01,0.01,0.01,0.01,11.532367,0.01,0.01,11.710174,6.030741,0.01,0.01,0.01,0.01,1.766716,0.01,0.01,0.01,0.01,0.01,0.01
1333,0.01,0.01,0.01,0.01,39.14978,0.01,0.01,96.535995,24.73242,0.01,0.01,1.621794,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1334,0.01,0.01,0.01,0.01,90.82386,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,32.196121,0.01,0.01,0.01,0.01,0.01,0.01
1335,0.01,0.01,0.01,0.01,0.01,0.01,0.01,19.782795,18.949942,0.01,0.01,0.01,0.01,5.297263,0.01,0.01,0.01,0.01,0.01,0.01
1336,0.01,0.01,1.046903,0.01,0.01,1.009986,0.01,92.40406,0.01,0.01,0.01,0.01,0.01,254.483383,0.01,0.01,1.105716,0.01,0.01,0.01
1337,0.01,0.01,2.418227,0.01,28.772612,0.01,0.01,32.212551,0.01,0.01,0.01,0.01,0.01,15.636603,0.01,0.01,0.01,0.01,0.01,0.01
1338,0.01,0.01,0.01,0.01,0.01,0.01,0.01,48.79409,15.22592,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
